file,energy,onsetRate,rms,dynamicComplexity,spectralCentroid,hfc
"02 5A - 7 - Under the Moonlight (Extended Mix).mp3",7,1.7000,0.260302,0.0000,0.0000,0.0000
"1-01 10A - 7 - Love Don't Make It Right.mp3",7,5.4667,0.133945,0.0000,0.0000,0.0000
"1-01 10A - 7 - Holdin' On (feat. Bryan Chambers).mp3",7,6.2667,0.374472,0.0000,0.0000,0.0000
"01 5A - 7 - Jenifa.mp3",7,7.4000,0.368605,0.0000,0.0000,0.0000
"01 7A - 7 - Evelin.mp3",7,7.9000,0.241450,0.0000,0.0000,0.0000
"02 8A - 7 - Little Love (Tom Sommerson Extended Remix).mp3",7,6.5000,0.252648,0.0000,0.0000,0.0000
"02 7A - 7 - Whatever (7am Mix).mp3",7,4.8667,0.381653,0.0000,0.0000,0.0000
"1-01 9A - 7 - For The Same Man (Nasty Version).mp3",7,5.6333,0.262425,0.0000,0.0000,0.0000
"1-02 3A - 7 - Seven Days and One Week (club mix).mp3",7,6.1333,0.242937,0.0000,0.0000,0.0000
"01 5A - 7 - What You Need (Enzo Elia Balearic Gabba edit).mp3",7,6.9667,0.281839,0.0000,0.0000,0.0000
"01 3A - 7 - Can't Stop Now (Extended Mix).mp3",7,5.1000,0.337110,0.0000,0.0000,0.0000
"1-01 12A - 7 - Power (Original Mix).mp3",7,4.5667,0.303980,0.0000,0.0000,0.0000
"01 2A - 7 - Last Night.mp3",7,7.5667,0.230860,0.0000,0.0000,0.0000
"04 6A - 7 - Let the Drums Speak.mp3",7,7.0333,0.185870,0.0000,0.0000,0.0000
"7A - 7 - Stay With Me (Original Mix).mp3",7,4.4333,0.288873,0.0000,0.0000,0.0000
"02 11A - 7 - Hermetico.mp3",7,5.3333,0.235969,0.0000,0.0000,0.0000
"01 4A - 7 - Losers (Purple Disco Machine Remix Edit).mp3",7,4.3333,0.321295,0.0000,0.0000,0.0000
"1-01 3A - 7 - Party Woman (Crazy P Remix).mp3",7,7.0667,0.291862,0.0000,0.0000,0.0000
"05 11B - 7 - Paris latino (Maxi).mp3",7,4.8333,0.200168,0.0000,0.0000,0.0000
"4A - 7 - Red Alert [Grant Nelson Remix].mp3",7,4.3667,0.314982,0.0000,0.0000,0.0000
"1-02 5A - 7 - Thank You (12_ Mix).mp3",7,5.0000,0.228184,0.0000,0.0000,0.0000
"06 2A - 7 - Ride It.mp3",7,5.0333,0.361166,0.0000,0.0000,0.0000
"07 10A - 7 - Suzie (Bonus Track).mp3",7,5.6667,0.323472,0.0000,0.0000,0.0000
"2-03 8A - 7 - French Coast (Folamour Remix).mp3",7,6.7333,0.328426,0.0000,0.0000,0.0000
"02 6A - 7 - Sick Daze (APM001 & Blac Remix).mp3",7,7.4000,0.167364,0.0000,0.0000,0.0000
"9A - 7 - Dj S - Music Trance.mp3",7,5.1000,0.244364,0.0000,0.0000,0.0000
"25 3A - 7 - Do Me Right (feat. Dames Brown (Crackazat Extended Remix).mp3",7,5.0000,0.372387,0.0000,0.0000,0.0000
"01 8A - 7 - Energy (Original Mix).mp3",7,6.5000,0.371827,0.0000,0.0000,0.0000
"11A - 8 - 212 (zvukoff.ru).mp3",8,4.4333,0.257546,0.0000,0.0000,0.0000
"02 8A - 8 - Move It.mp3",8,4.4667,0.221761,0.0000,0.0000,0.0000
"2-01 12B - 8 - Single Ladies (Put A Ring On It).mp3",8,3.7000,0.281279,0.0000,0.0000,0.0000
"04 9A - 8 - CUFF IT.mp3",8,4.9667,0.288394,0.0000,0.0000,0.0000
"1-01 5A - 8 - Signal.mp3",8,4.9333,0.288415,0.0000,0.0000,0.0000
"6A - 8 - It's You (Original Mix).mp3",8,5.7000,0.317880,0.0000,0.0000,0.0000
"01 7A - 8 - Fantasy.mp3",8,5.2000,0.370662,0.0000,0.0000,0.0000
"01 5A - 8 - Las Flores.mp3",8,5.1000,0.224981,0.0000,0.0000,0.0000
"04 7A - 8 - Liquid Hook (Interactive Noise Remix) (vs. Liquid Soul).mp3",8,5.5000,0.367536,0.0000,0.0000,0.0000
"09 10A - 8 - Aran.mp3",8,6.6000,0.398927,0.0000,0.0000,0.0000
"03 8A - 8 - Some Haww.mp3",8,5.1667,0.321985,0.0000,0.0000,0.0000
"07 12B - 8 - Baby I Love Your Way.mp3",8,4.3333,0.282946,0.0000,0.0000,0.0000
"1-01 9A - 8 - What Would You Do_ (feat. Andrés & Amp Fiddler).mp3",8,4.1667,0.359257,0.0000,0.0000,0.0000
"4-04 3A - 8 - Let's Dance (12_ version).mp3",8,3.3333,0.187101,0.0000,0.0000,0.0000
"8A - 8 - Show Me.mp3",8,6.0000,0.342265,0.0000,0.0000,0.0000
"14 8A - 8 - Danza Kuduro (Feat. Lucenzo).mp3",8,5.0333,0.358677,0.0000,0.0000,0.0000
"1-01 3A - 8 - Everyman (Late Nite Tuff Guy Rework).mp3",8,5.1667,0.206407,0.0000,0.0000,0.0000
"04 4A - 8 - Still D.R.E Ft Snoop Dogg.mp3",8,4.7000,0.296842,0.0000,0.0000,0.0000
"1-17 10A - 8 - Hotel California (2013 Remaster).mp3",8,4.4333,0.176641,0.0000,0.0000,0.0000
"1-09 2A - 8 - Love Come Down (12_ version).mp3",8,3.9333,0.194610,0.0000,0.0000,0.0000
"6A - 8 - Like A G6  ft. The Cataracs & Dev.mp3",8,4.1000,0.387733,0.0000,0.0000,0.0000
"1-12 12A - 8 - Precious Little Diamond (12_ Mix).mp3",8,4.6333,0.281306,0.0000,0.0000,0.0000
"36 8A - 8 - Infinity (Extended Mix).mp3",8,4.2333,0.336735,0.0000,0.0000,0.0000
"1-01 6A - 8 - I Got My Mind Made Up (You Can Get It Girl).mp3",8,4.6667,0.214231,0.0000,0.0000,0.0000
"1-12 4A - 8 - Breakdance (Extended Remix).mp3",8,4.9000,0.207534,0.0000,0.0000,0.0000
"3-04 3A - 8 - Space Cowboy (Classic Radio).mp3",8,5.2000,0.174863,0.0000,0.0000,0.0000
"05 2B - 8 - Empire State Of Mind (Alicia Keys).mp3",8,4.2667,0.385478,0.0000,0.0000,0.0000
"6A - 8 - You're Not Alone (Manuel De La Mare Vs Will Gold Remix).mp3",8,1.9333,0.384419,0.0000,0.0000,0.0000
"1-09 9A - 8 - Bourgie Bourgie (Louie Vega Remix) (feat. The Monster Orchestra).mp3",8,4.4333,0.308259,0.0000,0.0000,0.0000
"02 8A - 8 - I Kissed A Girl.mp3",8,3.8667,0.339593,0.0000,0.0000,0.0000
"35 1A - 8 - Celebrate (Extended Mix).mp3",8,5.5333,0.224313,0.0000,0.0000,0.0000
"1-01 2A - 8 - You Got Something Special (KON Edit).mp3",8,4.0000,0.276390,0.0000,0.0000,0.0000
"03 2A - 8 - INDUSTRY BABY (feat. Jack Harlow).mp3",8,4.3000,0.321669,0.0000,0.0000,0.0000
"01 1A - 8 - Vogue (12'' Version).mp3",8,4.7667,0.123029,0.0000,0.0000,0.0000
"1-01 11A - 8 - The Spirit (Extended Mix).mp3",8,6.1000,0.354833,0.0000,0.0000,0.0000
"1B - 8 - Timber ft. Ke$ha.mp3",8,3.9667,0.325808,0.0000,0.0000,0.0000
"01 1B - 8 - Timber.mp3",8,3.9000,0.347687,0.0000,0.0000,0.0000
"01 7A - 8 - Spitfire.mp3",8,2.8000,0.206874,0.0000,0.0000,0.0000
"09 7A - 8 - B.M.F. (Blowin' Money Fast) (Feat. Styles P).mp3",8,4.5000,0.315851,0.0000,0.0000,0.0000
"2-06 11A - 8 - Wear It Out (12_ version).mp3",8,4.7000,0.169438,0.0000,0.0000,0.0000
"1-02 3A - 8 - Umbrella.mp3",8,5.2000,0.324371,0.0000,0.0000,0.0000
